ST_NUM,ST_NAME,CITY,ZIPCODE,GIS_ID,TOTAL_SCORE,latitude,longitude,grid_code
41,WRENTHAM ST,DORCHESTER,2124,1603015000,51,42.2878653236425,-71.06156681848049,138
262,ASHMONT ST,DORCHESTER,2124,1603081000,51,42.28681158798115,-71.0614320855475,138
57,WRENTHAM ST,DORCHESTER,2124,1603020000,51,42.288088495119396,-71.06069107815671,138
61,WRENTHAM ST,DORCHESTER,2124,1603022000,51,42.2881856208966,-71.060320769844,138
64,DRACUT ST,DORCHESTER,2124,1603024000,51,42.28797706268065,-71.06035962762797,138
54,DRACUT ST,DORCHESTER,2124,1603028000,51,42.2877173687224,-71.06137803969747,138
44,DRACUT ST,DORCHESTER,2124,1603030000,51,42.287605122852355,-71.06182402201529,137
49,DRACUT ST,DORCHESTER,2124,1603057000,51,42.28746827585505,-71.06109875341578,138
61,DRACUT ST,DORCHESTER,2124,1603059000,51,42.28756752415025,-71.06063845961029,138
65,DRACUT ST,DORCHESTER,2124,1603061000,51,42.28766191369115,-71.06014620531505,138
8,BRUCE ST,DORCHESTER,2124,1603065000,51,42.287514671253305,-71.05971331713636,138
302,ASHMONT ST,DORCHESTER,2124,1603067000,51,42.28725589404685,-71.05958654441591,138
276,ASHMONT ST,DORCHESTER,2124,1603072000,51,42.28688065810645,-71.06091847277749,138
266,ASHMONT ST,DORCHESTER,2124,1603080000,51,42.2868454899465,-71.06125632599318,138
8,HELENA RD,DORCHESTER,2124,1603251000,51,42.28656860179005,-71.05513475192095,140
29,SEDALIA RD,DORCHESTER,2124,1603253000,51,42.286614586593544,-71.05734352712234,139
34  32,BURGOYNE ST,DORCHESTER,2124,1603255000,51,42.28653353133855,-71.05696422510147,140
72,ELMER RD,DORCHESTER,2124,1603356000,51,42.28665560135235,-71.05847559484616,139
14,WILCOX RD,DORCHESTER,2124,1603306000,51,42.2855640068436,-71.0589998000992,157
7,FOSSDALE RD,DORCHESTER,2124,1603312000,51,42.2853380022522,-71.0593047895778,157
