name,WKT,x,y,counts
93,"POLYGON ((-71.0683764 42.3043818,-71.0661503 42.3043818,-71.0661503 42.2997983,-71.0683764 42.2997983,-71.0683764 42.3043818))",10.0,8.0,49.0
94,"POLYGON ((-71.0661503 42.3043818,-71.0639242 42.3043818,-71.0639242 42.2997983,-71.0661503 42.2997983,-71.0661503 42.3043818))",11.0,8.0,52.0
95,"POLYGON ((-71.0639242 42.3043818,-71.0616981 42.3043818,-71.0616981 42.2997983,-71.0639242 42.2997983,-71.0639242 42.3043818))",11.0,8.0,36.0
96,"POLYGON ((-71.0616981 42.3043818,-71.0572459 42.3043818,-71.0572459 42.2997983,-71.0616981 42.2997983,-71.0616981 42.3043818))",12.0,8.0,50.0
97,"POLYGON ((-71.0572459 42.3043818,-71.0483415 42.3043818,-71.0483415 42.2997983,-71.0572459 42.2997983,-71.0572459 42.3043818))",13.0,8.0,53.0
104,"POLYGON ((-71.0928635 42.2997983,-71.0795069 42.2997983,-71.0795069 42.2952148,-71.0928635 42.2952148,-71.0928635 42.2997983))",5.0,9.0,64.0
105,"POLYGON ((-71.0795069 42.2997983,-71.0750547 42.2997983,-71.0750547 42.2952148,-71.0795069 42.2952148,-71.0795069 42.2997983))",8.0,9.0,71.0
106,"POLYGON ((-71.0750547 42.2997983,-71.0706025 42.2997983,-71.0706025 42.2952148,-71.0750547 42.2952148,-71.0750547 42.2997983))",9.0,9.0,68.0
107,"POLYGON ((-71.0706025 42.2997983,-71.0683764 42.2997983,-71.0683764 42.2952148,-71.0706025 42.2952148,-71.0706025 42.2997983))",10.0,9.0,31.0
108,"POLYGON ((-71.0683764 42.2997983,-71.0661503 42.2997983,-71.0661503 42.2952148,-71.0683764 42.2952148,-71.0683764 42.2997983))",10.0,9.0,55.0
109,"POLYGON ((-71.0661503 42.2997983,-71.0616981 42.2997983,-71.0616981 42.2952148,-71.0661503 42.2952148,-71.0661503 42.2997983))",11.0,9.0,46.0
110,"POLYGON ((-71.0616981 42.2997983,-71.0483415 42.2997983,-71.0483415 42.2952148,-71.0616981 42.2952148,-71.0616981 42.2997983))",12.0,9.0,74.0
117,"POLYGON ((-71.0928635 42.2952148,-71.0772808 42.2952148,-71.0772808 42.2906313,-71.0928635 42.2906313,-71.0928635 42.2952148))",5.0,10.0,72.0
118,"POLYGON ((-71.0772808 42.2952148,-71.0750547 42.2952148,-71.0750547 42.2906313,-71.0772808 42.2906313,-71.0772808 42.2952148))",8.0,10.0,60.0
119,"POLYGON ((-71.0750547 42.2952148,-71.0706025 42.2952148,-71.0706025 42.2906313,-71.0750547 42.2906313,-71.0750547 42.2952148))",9.0,10.0,39.0
120,"POLYGON ((-71.0706025 42.2952148,-71.0661503 42.2952148,-71.0661503 42.2906313,-71.0706025 42.2906313,-71.0706025 42.2952148))",10.0,10.0,69.0
121,"POLYGON ((-71.0661503 42.2952148,-71.0616981 42.2952148,-71.0616981 42.2906313,-71.0661503 42.2906313,-71.0661503 42.2952148))",11.0,10.0,65.0
122,"POLYGON ((-71.0616981 42.2952148,-71.0572459 42.2952148,-71.0572459 42.2906313,-71.0616981 42.2906313,-71.0616981 42.2952148))",12.0,10.0,69.0
123,"POLYGON ((-71.0572459 42.2952148,-71.0527937 42.2952148,-71.0527937 42.2906313,-71.0572459 42.2906313,-71.0572459 42.2952148))",13.0,10.0,78.0
124,"POLYGON ((-71.0527937 42.2952148,-71.0483415 42.2952148,-71.0483415 42.2906313,-71.0527937 42.2906313,-71.0527937 42.2952148))",14.0,10.0,63.0
126,"POLYGON ((-71.0438893 42.2952148,-71.0394371 42.2952148,-71.0394371 42.2906313,-71.0438893 42.2906313,-71.0438893 42.2952148))",16.0,10.0,9.0
130,"POLYGON ((-71.0973157 42.2906313,-71.0906374 42.2906313,-71.0906374 42.2860478,-71.0973157 42.2860478,-71.0973157 42.2906313))",4.0,11.0,39.0
131,"POLYGON ((-71.0906374 42.2906313,-71.0884113 42.2906313,-71.0884113 42.2860478,-71.0906374 42.2860478,-71.0906374 42.2906313))",5.0,11.0,41.0
132,"POLYGON ((-71.0884113 42.2906313,-71.0839591 42.2906313,-71.0839591 42.2860478,-71.0884113 42.2860478,-71.0884113 42.2906313))",6.0,11.0,70.0
